Year,T,TM,Tm,V,RA,SN,TS,FG,TN,GR
1991,14.4,21.2,8.3,5.1,77,26,15,17,0,1
1992,14.4,20.8,8.6,5.1,93,19,9,2,0,1
1993,13.4,19.6,7.6,5.4,98,38,12,10,1,0
1994,14.4,21.1,8,5.1,66,28,4,9,0,0
1995,15,22.2,8.4,4.4,41,20,8,12,0,0
1996,14,20.5,7.6,5,68,23,14,13,0,0
1997,14,20.5,7.6,5,68,23,14,13,0,0
1998,14,20.5,7.6,5,68,23,14,13,0,0
1999,15.7,22.4,8.9,7.6,98,15,13,18,0,0
2000,16,22.5,9.1,8,84,19,11,25,0,2
2001,16.3,22.7,9.2,8.2,80,20,12,23,1,0
2002,16.3,22.7,9.2,8.2,92,35,13,28,0,0
2003,15.6,21.7,8.9,7.8,109,22,13,19,0,1
2004,16.6,22.8,9.6,7.7,104,17,7,34,0,0
2005,16.6,22.8,9.6,7.7,104,17,7,34,0,0
2006,16.4,22.6,9,9.1,93,29,21,44,0,0
2007,16.2,22.6,8.5,9,86,17,16,37,0,0
2008,15.9,22.3,8.4,8.8,75,34,7,45,0,3
2009,16.1,22.3,8.7,9,119,12,22,31,0,1
2010,16.8,23.3,9.4,9,109,13,27,27,0,0
2011,15.8,21.8,8.6,9.5,105,41,16,50,0,0
2012,15,21.4,7.9,9.4,86,40,23,28,0,2
2013,16.3,22.6,9.1,9.6,90,29,17,22,0,0
2014,14.9,21.2,7.8,9.5,96,30,13,34,0,2
2015,16.3,22.3,9.6,9.9,119,23,19,14,0,0
2016,16.8,23.3,9.9,9.9,102,24,11,6,0,0
2017,16,22.3,9,9.9,92,27,14,31,0,0
2018,16,22.4,9.3,9.7,92,16,9,30,0,0
2019,16.6,22.5,10,9.8,111,16,12,19,0,0
2020,15.5,21.3,9.2,9.8,92,37,18,26,0,0
2021,17,23.4,10.1,10,82,11,10,14,0,0
2022,16.7,22.6,10.2,9.8,115,17,14,32,0,0
2023,17.3,23.6,10.4,10,96,15,14,19,0,0
2024,17.3,23.6,10.4,10,96,15,14,19,0,0
2025,17.3,23.6,10.4,10,96,15,14,19,0,0
